Article_id;sentiment (-2/+2);controversy (0-5);relevancy (0-5);contribution (0-5);hotness (0-5)
1;2;0;2;2;4
2;1;0;5;5;3
3;0;2;3;3;3
4;-2;1;5;5;4
5;1;0;1;2;2
6;-1;4;5;5;5
7;2;0;4;2;4
8;2;0;5;5;4
9;0;2;3;5;5
11;0;4;0;0;1
12;0;1;0;2;1
13;0;3;3;3;4
14;1;4;3;4;4
15;2;1;4;5;5
16;0;4;5;4;5
17;0;3;4;5;4
18;1;0;3;5;4
19;-2;3;5;4;4
20;2;1;5;5;5
23;0;2;1;1;1
24;1;0;2;2;2
25;0;0;0;5;0
26;0;0;0;4;0
28;0;0;0;2;0
29;0;3;5;4;4
30;2;0;5;4;5
31;2;1;5;3;3
32;1;1;3;5;3
33;1;0;3;4;3
34;0;1;0;1;0
35;0;5;5;5;5
36;0;5;5;5;5
37;0;0;0;1;0
38;0;3;0;3;0
39;1;0;5;5;4
40;1;3;5;5;4
41;2;1;5;4;5
42;2;1;4;3;3
43;-1;3;5;3;4
44;1;3;5;4;4
45;2;0;5;4;4
46;1;0;2;3;2
47;0;3;1;1;2
48;1;0;3;2;2
49;1;3;2;3;3
50;2;0;5;4;4
