Article_id;n_opins;text_quality (1-10);sentiment (-2/+2);controversy (0-1);relevancy (0-1);contribution (0-1);hotness (0-1)
1;2;5;1;0,3;1;0,8;0,8
2;3;9;0;0,6;0,9;0,8;0,75
3;3;10;1;0,4;0,75;0,7;0,6
4;5;10;-2;0,7;0,88;0,78;0,77
5;3;7;0;0,3;0,9;0,767;0,613
6;9;8;-1;0,744;0,922;0,833;0,82
7;2;7;1;0,5;0,9;0,8;0,705
8;2;9;1;0,65;0,925;0,825;0,78
9;4;9;-1;0,638;0,862;0,762;0,738
11;2;8;0;0,3;0,1;0,15;0,198
12;4;10;0;0,175;0,4;0,325;0,284
13;5;10;-1;0,6;0,88;0,78;0,733
14;6;9;1;0,633;0,833;0,717;0,712
15;3;10;2;0,6;0,917;0,85;0,767
16;6;10;1;0,567;0,875;0,758;0,711
17;2;10;0;0,65;0,925;0,825;0,78
18;3;9;2;0,467;0,967;0,9;0,743
19;4;8;-2;0,663;0,862;0,737;0,739
20;4;8;2;0,45;0,862;0,788;0,671
23;2;10;0;0,3;0,75;0,675;0,544
24;3;10;1;0,3;0,833;0,717;0,579
25;1;10;0;0,3;0,6;0,5;0,455
26;1;10;0;0,1;0,3;0,2;0,185
28;1;10;0;0;0,1;0,05;0,042
29;2;10;1;0,75;0,925;0,825;0,82
30;3;10;2;0,4;0,967;0,833;0,693
31;2;7;2;0,3;0,9;0,8;0,625
32;3;7;1;0,5;0,9;0,8;0,705
33;2;9;1;0,3;0,8;0,7;0,565
34;1;10;0;0,1;0,5;0,3;0,27
35;2;10;0;0,65;0,8;0,65;0,688
36;8;10;0;0,681;0,906;0,819;0,786
37;2;10;0;0,1;0,1;0,1;0,1
38;2;10;0;0,4;0,725;0,625;0,56
39;2;9;1;0,55;0,8;0,7;0,665
40;3;9;1;0,4;0,917;0,817;0,675
41;2;10;1;0,4;0,925;0,825;0,68
42;2;7;2;0,25;0,95;0,9;0,653
43;3;9;0;0,567;0,9;0,833;0,743
44;3;8;0;0,633;0,917;0,817;0,768
45;2;10;2;0,4;1;0,95;0,742
46;3;10;1;0,333;0,65;0,55;0,488
47;5;7;0;0,36;0,77;0,66;0,568
48;2;8;1;0,25;0,6;0,6;0,46
49;5;10;2;0,48;0,97;0,91;0,753
50;3;10;2;0,4;0,95;0,883;0,707
