Article_id;n_opins;text_quality (1-10);sentiment (-2/+2);controversy (0-1);relevancy (0-1);contribution (0-1);hotness (0-1)
1;2;10;0;0,3;0,75;0,65;0,535
2;3;6;0;0,633;0,883;0,883;0,783
3;3;9;0;0,483;0,85;0,75;0,668
4;5;9;-2;0,79;0,92;0,86;0,847
5;3;9;1;0,367;0,9;0,8;0,652
6;9;9;-1;0,644;0,883;0,767;0,747
7;2;9;0;0,75;0,9;0,8;0,805
8;2;9;1;0,5;0,95;0,85;0,735
9;4;9;0;0,6;0,912;0,812;0,752
11;2;7;-1;0,4;0,45;0,35;0,395
12;4;9;-1;0,35;0,45;0,375;0,384
13;5;6;0;0,6;0,96;0,85;0,745
14;6;10;1;0,592;0,9;0,792;0,739
15;3;10;2;0,533;0,917;0,817;0,728
16;6;10;0;0,542;0,9;0,783;0,716
17;2;10;0;0,65;0,875;0,725;0,723
18;3;6;2;0,633;0,967;0,9;0,81
19;4;9;-1;0,688;0,925;0,825;0,795
20;4;8;0;0,45;0,775;0,712;0,623
23;2;9;0;0,45;0,775;0,625;0,592
24;3;5;1;0,433;0,8;0,667;0,607
25;1;10;0;0,4;0,3;0,2;0,305
26;1;10;0;0,2;0,1;0,1;0,14
28;1;9;0;0,2;0,3;0,4;0,295
29;2;8;0;0,8;0,95;0,85;0,855
30;3;9;1;0,533;0,917;0,817;0,728
31;2;6;0;0,5;0,875;0,775;0,69
32;3;10;1;0,6;0,917;0,817;0,755
33;2;9;1;0,4;0,875;0,775;0,65
34;1;10;1;0,2;0,5;0,3;0,31
35;2;10;0;0,6;0,9;0,8;0,745
36;8;7;0;0,631;0,794;0,7;0,696
37;2;9;0;0,4;0,525;0,475;0,458
38;2;10;0;0,55;0,875;0,725;0,692
39;2;9;0;0,6;0,95;0,9;0,792
40;3;8;1;0,533;0,95;0,85;0,748
41;2;10;2;0,45;0,95;0,85;0,719
42;2;10;2;0,7;0,975;0,925;0,848
43;3;9;1;0,5;0,833;0,7;0,653
44;3;10;0;0,6;0,95;0,883;0,787
45;2;9;2;0,5;0,975;0,925;0,768
46;3;10;0;0,3;0,617;0,55;0,467
47;5;10;0;0,3;0,65;0,57;0,482
48;2;10;1;0,45;0,775;0,675;0,61
49;5;10;1;0,54;0,96;0,88;0,764
50;3;10;1;0,533;0,933;0,833;0,738
