Article_id;n_opins;text_quality (1-10);sentiment (-2/+2);controversy (0-1);relevancy (0-1);contribution (0-1);hotness (0-1)
1;;;;;;;
2;1;10;1;0,8;0,9;1;0,895
3;3;9;0;0,45;0,85;0,9;0,708
4;5;8;1;0,22;0,9;0,9;0,628
5;3;6;1;0,133;0,867;0,533;0,457
6;9;5;2;0,211;0,933;0,933;0,644
7;2;6;2;0,45;0,9;0,85;0,702
8;2;6;2;0,25;1;1;0,7
9;4;5;0;0,325;0,925;0,825;0,65
11;2;5;1;0,65;0,9;0,6;0,695
12;4;4;1;0,233;0,667;0,6;0,47
13;5;5;1;0,133;0,933;0,833;0,578
14;6;4;2;0,15;0,933;0,817;0,579
15;3;4;2;0,167;0,867;0,9;0,598
16;6;4;2;0,24;0,92;0,82;0,613
17;2;9;1;0,2;1;0,8;0,61
18;3;5;1;0,6;0,9;0,733;0,722
19;4;3;2;0,225;0,95;0,9;0,642
20;4;6;1;0,225;0,9;0,7;0,56
23;2;4;1;0,4;0,95;1;0,748
24;3;4;1;0,6;0,8;0,85;0,738
25;1;4;1;0;1;1;0,6
26;1;4;0;0,2;0,8;0,7;0,525
28;1;3;0;0,2;0,8;0,4;0,42
29;2;5;0;0,2;0,8;0,7;0,525
30;3;4;1;0,467;1;0,933;0,763
31;2;4;2;0;1;1;0,6
32;3;5;2;0,25;1;1;0,7
33;2;5;2;0,1;0,95;1;0,628
34;1;5;1;0,8;0,9;1;0,895
35;2;9;1;0,25;0,55;0,45;0,395
36;8;6;1;0,3;0,9;0,867;0,648
37;2;4;1;0,45;0,9;0,85;0,702
38;2;3;1;0;1;1;0,6
39;2;3;0;0;0;0;0
40;3;7;1;0,333;1;1;0,733
41;2;7;1;0,1;0,95;0,9;0,592
42;2;6;0;0,25;0,9;0,85;0,622
43;3;4;2;0,133;1;0,867;0,607
44;3;4;2;0,133;0,967;0,933;0,622
45;2;3;1;0;1;1;0,6
46;3;4;2;0,2;1;0,65;0,558
47;5;4;0;0,15;0,725;0,625;0,46
48;2;3;1;0,3;1;0,8;0,65
49;5;8;1;0,1;0,95;0,9;0,592
50;3;5;1;0,25;1;1;0,7
