Article_id;n_opins;text_quality (1-10);sentiment (-2/+2);controversy (0-1);relevancy (0-1);contribution (0-1);hotness (0-1)
1;;;;;;;
2;;;;;;;
3;3;10;;;;;
4;5;9;;;;;
5;3;9;;;;;
6;9;10;;;;;
7;2;10;;;;;
8;2;10;;;;;
9;4;9;;;;;
11;2;8;;;;;
12;4;10;;;;;
13;5;10;;;;;
14;6;10;;;;;
15;3;10;;;;;
16;6;10;;;;;
17;2;10;;;;;
18;3;10;;;;;
19;4;10;;;;;
20;4;10;;;;;
23;2;10;;;;;
24;3;10;;;;;
25;1;10;;;;;
26;1;10;;;;;
28;1;10;;;;;
29;2;9;;;;;
30;3;10;;;;;
31;2;10;;;;;
32;3;9;;;;;
33;2;10;;;;;
34;1;10;;;;;
35;2;10;;;;;
36;8;10;;;;;
37;2;10;;;;;
38;2;10;;;;;
39;2;10;;;;;
40;3;10;;;;;
41;2;10;;;;;
42;2;10;;;;;
43;3;9;;;;;
44;3;9;;;;;
45;2;10;;;;;
46;3;10;;;;;
47;5;9;;;;;
48;2;10;;;;;
49;5;9;;;;;
50;3;10;;;;;
