opinion_id,fk_origin_article_id,citation,sentiment_score,inconsistency_flag,inconsistency_with_id,inconsistency_comment,controversy_score,relevancy_score,contribution_score,opinion_hotness,is_selected,person_name
1,50,"To power a city with one million inhabitants for 24 hours would require around two square kilometers of flooded land...\"" and estimates global energy storage needs.",-0.6,False,[],,0.6,0.9,0.8,0.745,True,Blakers
2,49,"The average cost of a rooftop solar system is around $20,000, according to the Solar Energy Industries Association.",-0.25,False,[],,0.3,0.95,0.85,0.655,True,Solar Energy Industries Association
3,50,Modern projects prioritize closed-loop systems (like Nant de Drance) to avoid impacting river systems.,0.65,False,[],,0.6,0.95,0.85,0.775,True,Andrew Blakers
4,50,"With the flick of a switch, the plant can go from storing energy to providing electricity.\"" Also stated that the project could play a vital role in stabilizing Europe’s electricity grid as it transitions to renewable energy.",0.85,False,[],,0.4,0.95,0.85,0.695,True,Robert Gleitz
5,49,Tax credits increase for solar projects in low-income communities. Small businesses receive tax deductions up to $1/sq ft for energy efficiency.,0.8,False,[],,0.6,0.95,0.85,0.775,True,Unspecified
6,49,"There are people who are really on the front lines of the inflation crisis and how expensive fossil fuels are because of Putin’s invasion of Ukraine, and this bill will be delivering big energy savings for those people.",0.65,False,[],,0.6,0.95,0.85,0.775,True,Mark Wolfe
7,49,Democrats’ new party-line tax and clean energy bill is a big deal for climate and energy savings.,0.65,False,[],,0.6,0.95,0.85,0.775,True,Unspecified
8,49,"Senator Stabenow stated the tax credit limits to vehicles under $80,000 and includes income thresholds. The bill provides up to $600 per equipment item and $2,000 for heat pumps.",0.65,False,[],,0.6,1.0,1.0,0.84,True,Debbie Stabenow
9,48,"People want to know that those avocados have been grown on land that is responsibly managed.\"" He believes similar certification could apply to avocados and supports moderation in importing fruits & vegetables.””",-0.25,False,[],,0.3,0.6,0.5,0.445,False,Dr. Wayne Martindale
10,48,"It can be actually a positive solution and we should just embrace it because we know that we can’t carry on living like this,\"" says Shokouhi. She developed the ‘Ecovado’ as part of her master's degree, collaborating with Jack Wallman to create a sustainable avocado alternative.",0.85,False,[],,0.6,0.95,0.85,0.775,True,Arina Shokouhi
11,47,"#plantsoftiktok hashtag amassed over 6 billion views, offering tips on social media platforms like TikTok.",-0.25,False,[],,0.3,0.6,0.4,0.41,False,Seasoned caretakers
12,47,"There’s high plant densities, there’s fast turnovers (between growing and shipping plants). It’s a really complex system…They require a lot of resources like energy, labor, water, (and) fertilizers,”\""” as stated by Dr. Loren R. Oki.",-0.2,False,[],,0.2,0.3,0.4,0.295,False,Dr. Loren R. Oki
13,47,It doesn’t really have to be that way.,0.25,False,[],,0.3,0.6,0.5,0.445,False,Andreas Szankay
14,47,"Buying locally helps, ‘so that you’re not using fuel emissions and things like that to procure your plants,’” she said.””",0.65,False,[],,0.4,0.95,0.85,0.695,True,Sarah Bidwell
15,47,TikTok user @the.plant.baddie gives helpful tips on anxiety-causing root rot.,-0.75,False,[],,0.2,0.3,0.4,0.295,False,@the.plant.baddie
16,46,"Minister George Saitoti emphasizes the importance of inclusive decision-making regarding intra-African trade, acknowledging potential challenges and opportunities for women entrepreneurs.",0.0,False,[],,0.3,0.8,0.7,0.565,False,George Saitoti
