opinion_id,fk_origin_article_id,citation,sentiment_score,inconsistency_flag,inconsistency_with_id,inconsistency_comment,controversy_score,relevancy_score,contribution_score,opinion_hotness,is_selected,person_name
1,50,Says Nant de Drance can go from storing energy to providing electricity with the flick of a switch.,0.5,False,[],,0.0,1.0,1.0,0.6,True,Robert Gleitz
2,50,Professor of engineering at the Australian National University,0.63,False,[],,0.0,1.0,1.0,0.6,True,Andrew Blakers
3,50,"“The era of dam building is nearly over,”",0.5,False,[],,0.5,1.0,1.0,0.8,True,Blakers
4,49,null,,False,[],,,,,,False,Unspecified
5,49,"“There are people who are really on the front lines of the inflation crisis and how expensive fossil fuels are because of Putin’s invasion of Ukraine, and this bill will be delivering big energy savings for those people,”",0.25,False,[],,0.2,0.9,0.8,0.585,False,Leah Stokes
6,49,Unspecified,,False,[],,,,,,False,Debbie Stabenow
7,48,"University of Lincoln, associate professor of food insights and sustainability",0.56,False,[],,0.0,1.0,1.0,0.6,True,Dr. Wayne Martindale
8,48,Developed as part of her Material Futures master’s degree at Central Saint Martins art school.,0.0,False,[],,0.2,0.9,0.8,0.585,False,Arina Shokouhi
9,47,"UC Davis report, 2012",0.56,False,[],,0.3,1.0,0.8,0.65,True,Dr. Loren R. Oki
10,47,null,,False,[],,,,,,False,Unspecified
11,47,Pollyn shop aims to popularize biodegradable pots,0.0,False,[],,0.2,0.8,0.7,0.525,False,Andreas Szankay
12,47,According to Bidwell...,0.5,False,[],,0.0,1.0,1.0,0.6,True,Bidwell
13,47,"“Being a good steward of your plants is really important,” Bidwell said.",0.0,False,[],,0.2,0.3,0.1,0.19,False,Bidwell
14,46,null,,False,[],,,,,,False,Unspecified
15,46,No specific citation found,0.55,False,[],,0.2,1.0,0.5,0.505,False,Geingos
16,46,CNN’s Melissa Mahtani spoke with Geingos at Goals House during the UN General Assembly in New York last week,0.25,False,[],,0.2,0.8,0.7,0.525,False,Monica Geingos
17,45,null,,False,[],,,,,,False,Unspecified
18,45,"Wind and solar are already helping European citizens, but the future potential is even greater.",0.8,False,[],,0.2,1.0,0.8,0.61,True,Chris Rosslowe
19,44,IEA Executive Director,0.56,False,[],,0.0,1.0,1.0,0.6,True,Fatih Birol
20,44,null,,False,[],,,,,,False,Unspecified
21,44,International Energy Agency,0.83,False,[],,0.2,0.9,1.0,0.655,True,Unspecified
22,43,"Senior Vice President, African Energy Chamber",0.56,False,[],,0.0,1.0,1.0,0.6,True,Verner Ayukegba
23,43,UN climate report,0.85,False,[],,0.2,1.0,0.8,0.61,True,Ayukegba
24,43,We are going to be there to support a transition towards renewables and towards a world that goes closer to net zero.,0.8,False,[],,0.2,1.0,0.8,0.61,True,Ayukegba
25,42,"CEO BlocPower, CNN",0.56,False,[],,0.0,1.0,1.0,0.6,True,Donnel Baird
26,42,CNN Business,0.56,False,[],,0.2,1.0,0.8,0.61,True,Baird
27,41,IEA executive director,0.56,False,[],,0.0,1.0,1.0,0.6,True,Fatih Birol
28,41,— Julia Horowitz contributed reporting.,0.5,False,[],,0.0,1.0,1.0,0.6,True,Julia Horowitz
29,40,The price of SAF is four to five times that of conventional jet fuel and it’s limited in supply.,-0.5,False,[],,0.5,0.8,0.7,0.645,True,AlQubaisi
30,40,"“The warming you’re avoiding by simply adding a little more time to the journey is up to 60%, if not more,” says AlQubaisi.",0.5,False,[],,0.2,0.9,0.8,0.585,False,AlQubaisi
31,40,Says Etihad is 'essentially a call to action' to decarbonize industry,0.8,False,[],,0.5,1.0,1.0,0.8,True,Mariam AlQubaisi
32,39,Contributed to this report.,0.5,False,[],,0.0,1.0,1.0,0.6,True,Julia Horowitz
33,39,European Commission President said the package will ensure a 'level playing field' globally.,0.5,False,[],,0.5,1.0,1.0,0.8,True,Ursula von der Leyen
34,38,"“I think a lot about the printing press… We suddenly had the ability for people who disagreed with … the Catholic Church to take it on and say,…",,False,[],,,,,,False,Hank Green
35,38,null,,False,[],,,,,,False,Unspecified
36,37,null,,False,[],,,,,,False,Unspecified
37,36,Climate Power executive director,0.5,False,[],,0.0,1.0,1.0,0.6,True,Lori Lodes
38,36,"stunningly, for nearly four-fifths of the total clean energy investments that have been announced.",0.5,False,[],,0.0,1.0,1.0,0.6,True,Brandon Williams
39,36,Director of the Program on Climate Change Communication at Yale University,0.63,False,[],,0.0,1.0,1.0,0.6,True,Anthony Leiserowitz
40,36,derides as “woke capitalism”,0.5,False,[],,0.9,0.8,0.7,0.805,True,Ron DeSantis
41,36,He voted to repeal IRA's incentives for electric vehicle production and consumption,0.5,False,[],,0.7,0.8,1.0,0.83,True,"Amodei, Shelley"
42,36,Yale’s polling shows small percentage of Republicans cite climate as an important issue for government to address.,0.25,False,[],,0.4,0.8,0.7,0.605,True,Leiserowitz
43,36,Republicans and conservative activists frame defense of fossil fuels as culture war,0.25,True,[21],"New citation cites partisan groups instead of neutral source, contradicting previous citation.",0.5,0.8,0.7,0.645,True,Unspecified
44,36,null,,False,[],,,,,,False,Unspecified
45,35,Precedence Research report,0.62,False,[],,0.2,1.0,0.8,0.61,True,Unspecified
46,35,Managing director of Hive Energy Africa,0.56,False,[],,0.0,1.0,1.0,0.6,True,Colin Loubser
47,34,Social media post,,False,[],,,,,,False,Billie Joe Armstrong
48,33,"“With this system we create biodiversity, which means better soil, healthier crops and a bigger yield.”",0.8,False,[],,0.2,0.9,0.8,0.585,False,Ben Moussa
