opinion_id,fk_origin_article_id,citation,sentiment_score,inconsistency_flag,inconsistency_with_id,inconsistency_comment,controversy_score,relevancy_score,contribution_score,opinion_hotness,is_selected,person_name
1,50,"Andrew Blakers, a professor of engineering at the Australian National University, says modern projects favor closed-loop systems like Nant de Drance, which don’t impact river systems.",,False,[],,,,,,False,Andrew Blakers
2,49,"The bill includes provisions for rebates, tax credits, and grants to promote green energy initiatives.",,False,[],,,,,,False,Unspecified
3,50,"Ellis says Nant de Drance has increased Switzerland’s installed energy capacity by 33%, showing the leadership of Switzerland in the transition to renewables.",,False,[],,,,,,False,Rebecca Ellis
4,49,"Mark Wolfe, executive director of the National Energy Assistance Directors Association, said these measures would be more comprehensive than existing weatherization programs.",,False,[],,,,,,False,Mark Wolfe
5,49,The article does not specify a particular person's statement or action regarding green energy.,,False,[],,,,,,False,Unspecified
6,49,"Debbie Stabenow of Michigan said. The tax credit is also limited to trucks, vans and SUVs under $80,000, and other vehicles under $55,000, and has an income threshold for consumers.",,False,[],,,,,,False,Debbie Stabenow
7,48,Martindale highlights the importance of sustainable food production and responsible sourcing in reducing carbon emissions.,,False,[],,,,,,False,Dr. Wayne Martindale
8,48,"Shokouhi says, \""It can be actually a positive solution and we should just embrace it because we know that we can’t carry on living like this.",,False,[],,,,,,False,Arina Shokouhi
9,47,The article discusses the environmental impact of indoor plants but does not attribute specific statements or actions to a particular person regarding green energy.,,False,[],,,,,,False,Unspecified
10,47,"Dr. Loren R. Oki, a specialist in environmental horticulture at the University of California, Davis, highlighted the resource-intensive nature of indoor gardening.",,False,[],,,,,,False,Dr. Loren R. Oki
11,47,"Szankay said, 'It doesn’t really have to be that way.",,False,[],,,,,,False,Andreas Szankay
12,47,Bidwell suggested buying locally to reduce fuel emissions and using clippings for propagation.,,False,[],,,,,,False,Bidwell
13,47,"Being a good steward of your plants is really important,\"" Bidwell said.",,False,[],,,,,,False,Bidwell
14,46,Kenyan minister states that excluding women from decision-making is unwise and highlights opportunities for women entrepreneurs in expanded markets.,,False,[],,,,,,False,Kenyan minister
15,46,"Geingos emphasized the importance of women taking leadership roles in decision-making processes, stating that diverse thinking is crucial for societal progress.",,False,[],,,,,,False,Geingos
16,46,"Namibia’s first lady, Monica Geingos, said the country's green hydrogen plans extend beyond domestic energy self-sufficiency and include intra-African trade.",,False,[],,,,,,False,Monica Geingos
17,45,The report warns that governments will be unable to sustain such costly programs 'to compensate for high fossil energy prices over a long period of time.,,False,[],,,,,,False,Unspecified
18,45,"Chris Rosslowe, senior analyst at Ember, said: 'Wind and solar are already helping European citizens.",,False,[],,,,,,False,Chris Rosslowe
19,44,"The IEA forecasts EU emissions to decrease this year, even though the bloc’s coal use is up.",,False,[],,,,,,False,Unspecified
20,44,IEA Executive Director Fatih Birol stated that global clean energy policies are driving structural changes in the energy economy.,,False,[],,,,,,False,Fatih Birol
21,44,The International Energy Agency published its forecast showing CO2 emissions are on track for an increase of 300 million metric tons in 2022.,,False,[],,,,,,False,International Energy Agency
22,43,Ayukegba stated that Africa needs to focus on investing significantly into generating power for all of those people and champion making energy poverty history by 2030.,,False,[],,,,,,False,Verner Ayukegba
23,43,"Ayukegba emphasized the need to balance climate change and power issues, advocating for gas-to-power solutions to ensure energy access while considering social aspects of transition.",,False,[],,,,,,False,Ayukegba
24,43,Ayukegba emphasized the importance of realistic transitions and African voices in climate discussions at COP27.,,False,[],,,,,,False,Ayukegba
25,42,"CEO Donnel Baird said, \""We turn buildings into Teslas.",,False,[],,,,,,False,Donnel Baird
26,42,Eccles told CNN Business that tenants thanked him for the system and noted real savings in electricity use.,,False,[],,,,,,False,Lincoln Eccles
27,41,"IEA executive director Fatih Birol stated that the energy crisis has accelerated renewables' growth, crucial for limiting global warming to 1.5 °C.",,False,[],,,,,,False,Fatih Birol
28,41,The IEA report said: 'The amount of renewable power capacity added in Europe in the 2022-27 period is forecast to be twice as high as in the previous five-year period.,,False,[],,,,,,False,Unspecified
29,40,"AlQubaisi calls it a \""quick fix\"" until regulations change, but for SAF to become more widespread, more progress is required.",,False,[],,,,,,False,AlQubaisi
30,40,"AlQubaisi says, \""It’s essentially a call to action. The idea came about in late 2019 to launch a message to the industry: let’s try everything possible to decarbonize.",,False,[],,,,,,False,Mariam AlQubaisi
31,40,AlQubaisi stated that avoiding contrails through route adjustments can reduce warming effects by up to 60% using specific algorithms.,,False,[],,,,,,False,AlQubaisi
32,39,The European Commission stated that China provides green subsidies at twice the level of those in the EU relative to GDP.,,False,[],,,,,,False,Unspecified
33,39,European Commission President Ursula von der Leyen said the package of measures will ensure a 'level playing field' globally.,,False,[],,,,,,False,Ursula von der Leyen
34,38,"Green compared the internet to a hammer or printing press, stating its value depends on how it is used.",,False,[],,,,,,False,Hank Green
35,38,Green said many social media companies have been thinking of the societal implications of what they do.,,False,[],,,,,,False,Unspecified
36,36,"Lori Lodes, executive director of Climate Power, says the model of spreading clean energy investment across all districts is critical to sustaining federal efforts.",,False,[],,,,,,False,Lori Lodes
37,36,New York Republican Rep. Brandon Williams holds the district with the most clean energy investment.,,False,[],,,,,,False,Brandon Williams
38,36,"Leiserowitz said Republicans prioritize culture war over clean energy discussions, noting the next election will test this strategy.",,False,[],,,,,,False,Anthony Leiserowitz
39,36,Republicans voted to repeal clean energy incentives in the Inflation Reduction Act.,,False,[],,,,,,False,Unspecified
40,36,"Florida Gov. Ron DeSantis organized a coalition of 19 Republican governors to fight ESG measures, calling them 'woke capitalism.",,False,[],,,,,,False,Ron DeSantis
41,36,Amodei said the pace of Biden's plan to shift to EVs was unrealistic and that Nevada companies are excluded from jobs created by clean energy investments.,,False,[],,,,,,False,Troy Amodei
42,36,"Leiserowitz says that in Yale’s polling, only a very small percentage of even moderate Republicans cite climate as an important issue for government to address.",,False,[],,,,,,False,Leiserowitz
43,35,"Asanda Xawuka of the Coega Development Corporation said, \""We were hit very hard by Covid.",,False,[],,,,,,False,Asanda Xawuka
44,35,"Colin Loubser, managing director of Hive Energy Africa, says the plant will replace heavy fuel oils on ships and diesel with green ammonia as a future maritime fuel.",,False,[],,,,,,False,Colin Loubser
45,34,The band wrote on social media Thursday about the tour announcement.,,False,[],,,,,,False,Unspecified
46,33,"Ben Moussa says, 'With this system we create biodiversity, which means better soil, healthier crops and a bigger yield.",,False,[],,,,,,False,Ben Moussa
47,33,"Ben Moussa says, 'Desertification is the future of a lot of countries today.",,False,[],,,,,,False,Wissal Ben Moussa
48,32,"Jenkins said the hot rocks model has a distinct advantage over chemical batteries that can store power, but not heat.",,False,[],,,,,,False,Jesse Jenkins
49,32,"Ponec said, 'We’ve added some cavities, some gaps in the carbon that allow light from deep within the system to shine out and some insulated doors that can open and close that allow that light to shine out when you want it.",,False,[],,,,,,False,Ponec
50,32,"Ponec explained that the thermal battery uses sunlight to heat rocks, which can then provide energy for factories.",,False,[],,,,,,False,Andrew Ponec
51,31,"We need companies to change, as well as cities and churches, schools and universities, businesses and organizations,",,False,[],,,,,,False,Katharine Hayhoe
52,31,The article does not mention any specific person's statement or action regarding green energy.,,False,[],,,,,,False,Unspecified
53,30,"Johannsen said, 'Our early investment in wind has helped keep electricity rates lower compared to the rest of the country.",,False,[],,,,,,False,Johannsen
54,30,"Johannsen, energy program director for the Iowa Environmental Council, said wind turbines are a commodity in Iowa's agricultural landscape.",,False,[],,,,,,False,Kerri Johannsen
55,30,"Thorne, a University of Iowa professor, said wind energy is viewed positively by Iowans and is tied to climate change concerns.",,False,[],,,,,,False,Peter Thorne
