2025-05-24 23:00:22 - DBConnector               - INFO - 0.007s - Person not found
2025-05-24 23:00:36 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:00:51 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:01:06 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:02:00 - DBConnector               - INFO - 0.035s - Event added with event_id: 1
2025-05-24 23:02:00 - DBConnector               - INFO - 0.002s - Person not found
2025-05-24 23:02:00 - DBConnector               - INFO - 0.024s - Person added with person_id: 1
2025-05-24 23:02:00 - DBConnector               - INFO - 0.007s - Opinion not found
2025-05-24 23:02:00 - DBConnector               - INFO - 0.035s - Opinion added with opinion_id: 1
2025-05-24 23:02:00 - DBConnector               - INFO - 0.006s - Opinion found with opinion_id: 1
2025-05-24 23:02:01 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=141 updated successfully
2025-05-24 23:02:09 - DBConnector               - INFO - 0.029s - Event added with event_id: 2
2025-05-24 23:02:09 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:02:09 - DBConnector               - INFO - 0.025s - Person added with person_id: 2
2025-05-24 23:02:09 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:02:09 - DBConnector               - INFO - 0.028s - Opinion added with opinion_id: 2
2025-05-24 23:02:09 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 2
2025-05-24 23:02:09 - DBConnector               - INFO - 0.002s - Article chunk with chunk_id=138 updated successfully
2025-05-24 23:02:17 - DBConnector               - INFO - 0.030s - Event added with event_id: 3
2025-05-24 23:02:17 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:02:17 - DBConnector               - INFO - 0.026s - Person added with person_id: 3
2025-05-24 23:02:17 - DBConnector               - INFO - 0.004s - Opinion not found
2025-05-24 23:02:17 - DBConnector               - INFO - 0.029s - Opinion added with opinion_id: 3
2025-05-24 23:02:17 - DBConnector               - INFO - 0.005s - Opinion found with opinion_id: 3
2025-05-24 23:02:17 - DBConnector               - INFO - 0.004s - Article chunk with chunk_id=142 updated successfully
2025-05-24 23:02:25 - DBConnector               - INFO - 0.028s - Event added with event_id: 4
2025-05-24 23:02:25 - DBConnector               - INFO - 0.004s - Person not found
2025-05-24 23:02:25 - DBConnector               - INFO - 0.024s - Person added with person_id: 4
2025-05-24 23:02:25 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:02:25 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 4
2025-05-24 23:02:25 - DBConnector               - INFO - 0.004s - Opinion found with opinion_id: 4
2025-05-24 23:02:25 - DBConnector               - INFO - 0.003s - Article chunk with chunk_id=140 updated successfully
2025-05-24 23:03:55 - DBConnector               - INFO - 0.006s - Found 1 opinions for person_id 2
2025-05-24 23:03:55 - DBConnector               - INFO - 0.005s - Found 1 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:03:55 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:04:09 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:04:21 - DBConnector               - INFO - 0.007s - Found 1 opinions for person_id 2
2025-05-24 23:04:21 - DBConnector               - INFO - 0.005s - Found 1 sentiment records for person_id 2 on topic_id 1
2025-05-24 23:04:21 - DBConnector               - INFO - 0.004s - Attitude with fk_topic_id 1 and fk_person_id 2 not found
2025-05-24 23:04:34 - DBConnector               - INFO - 0.003s - Person not found
2025-05-24 23:05:24 - DBConnector               - INFO - 0.034s - Event added with event_id: 5
2025-05-24 23:05:24 - DBConnector               - INFO - 0.005s - Opinion not found
2025-05-24 23:05:24 - DBConnector               - INFO - 0.027s - Opinion added with opinion_id: 5
