2025-05-25 04:32:09 - main                      - INFO - N/A - Starting LangGraph with parallel processing
2025-05-25 04:32:10 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 142 started
2025-05-25 04:32:10 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 138 started
2025-05-25 04:32:10 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 141 started
2025-05-25 04:32:10 - event_classifier          - INFO - N/A - (Stage 0) Processing chunk 140 started
2025-05-25 04:32:26 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 447). Attempting to fix...
2025-05-25 04:32:26 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:32:26 - event_classifier          - WARNING - N/A - Failed to extract with regex: Unterminated string starting at: line 1 column 258 (char 257)
2025-05-25 04:32:26 - event_classifier          - INFO - 16.502s - Chunk 142 processed, (1) general events, (1) opinions.
2025-05-25 04:32:26 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 142 started
2025-05-25 04:32:26 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 142 started
2025-05-25 04:32:43 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 596). Attempting to fix...
2025-05-25 04:32:43 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:32:43 - event_classifier          - WARNING - N/A - Failed to extract with regex: Unterminated string starting at: line 1 column 346 (char 345)
2025-05-25 04:32:58 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 429). Attempting to fix...
2025-05-25 04:32:58 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:32:58 - event_classifier          - INFO - N/A - Successfully reconstructed JSON with regex field extraction
2025-05-25 04:32:58 - event_classifier          - INFO - 47.995s - Chunk 138 processed, (1) general events, (1) opinions.
2025-05-25 04:32:58 - event_scoring             - INFO - N/A - (Stage 1) Event scoring for chunk 138 started
2025-05-25 04:32:58 - sentiment_analysis        - INFO - N/A - (Stage 1) Sentiment analysis for chunk 138 started
2025-05-25 04:33:07 - event_classifier          - WARNING - N/A - Received invalid JSON response: Expecting ',' delimiter: line 9 column 2 (char 347). Attempting to fix...
2025-05-25 04:33:07 - event_classifier          - WARNING - N/A - Failed parsing code block content with substring method
2025-05-25 04:33:07 - event_classifier          - INFO - N/A - Successfully reconstructed JSON with regex field extraction
